Dividends,Data,CAD,2025-10-15,BCE(CA05534B7604) Cash Dividend CAD 0.4375 per Share (Ordinary Dividend),1.31,
Dividends,Data,CAD,2025-10-29,BNS(CA0641491075) Cash Dividend CAD 1.10 per Share (Ordinary Dividend),1.1,
Dividends,Data,GBP,2025-10-03,ADM(GB00B02J6398) Cash Dividend GBP 0.291 per Share (Bonus Dividend),5.82,
Dividends,Data,GBP,2025-10-03,ADM(GB00B02J6398) Cash Dividend GBP 0.859 per Share (Ordinary Dividend),17.18,
Dividends,Data,USD,2025-09-30,CCI(US22822V1017) Cash Dividend USD 1.0625 per Share (Ordinary Dividend),2.1,
Dividends,Data,USD,2025-10-02,KMB(US4943681035) Cash Dividend USD 1.26 per Share (Ordinary Dividend),1.26,
Dividends,Data,USD,2025-10-09,MPW(US58463J3041) Cash Dividend USD 0.08 per Share (Ordinary Dividend),0.36,
Dividends,Data,USD,2025-10-09,VICI(US9256521090) Cash Dividend USD 0.45 per Share (Ordinary Dividend),4.5,
Dividends,Data,USD,2025-10-10,MO(US02209S1033) Cash Dividend USD 1.06 per Share (Ordinary Dividend),10.6,
Dividends,Data,USD,2025-10-14,ADC(US0084921008) Cash Dividend USD 0.256 per Share (Ordinary Dividend),0.77,
Dividends,Data,USD,2025-10-15,O(US7561091049) Cash Dividend USD 0.2695 per Share (Ordinary Dividend),1.89,
Dividends,Data,USD,2025-10-15,STAG(US85254J1025) Cash Dividend USD 0.124167 per Share (Ordinary Dividend),1.24,
Dividends,Data,USD,2025-10-15,WPC(US92936U1097) Cash Dividend USD 0.91 per Share (Ordinary Dividend),0.91,
Dividends,Data,USD,2025-10-20,PM(US7181721090) Cash Dividend USD 1.47 per Share (Ordinary Dividend),2.94,
Dividends,Data,USD,2025-10-27,FTHY(US33741Q1076) Cash Dividend USD 0.125 per Share (Ordinary Dividend),5,
